feature,pos,neg,neutral
auto,0,0,1
shutter speed,2,0,0
iso,1,1,4
color,1,2,4
automatic settings,0,0,2
screen,2,0,3
focus,1,0,0
video,0,1,5
lens,0,0,2
photos,9,6,13
resolution,0,0,2
pictures,4,2,2
battery life,1,0,0
button,0,0,1
features,0,0,3
price,0,0,2
noise reduction,1,1,1
noise,0,0,1
macro mode,1,0,1
manual settings,0,0,1
light conditions,0,0,1
burst mode,0,0,1
pics,2,0,0
case,1,0,1
memory card,1,0,0
aspect ratio,0,1,4
image,0,0,1
hd video,1,0,0
shutter,1,0,1
zoom,1,1,5
image stabilization,0,0,1
price range,1,0,0
autofocus,1,1,0
quality photos,0,0,1
size,2,0,2
money,1,0,1
light,0,0,2
hd camcorder,0,0,1
dslr,0,0,1
wrist strap,0,0,1
shots,0,0,1
manual control,1,0,0
sd card,0,0,1
optical zoom,0,0,1
card,1,0,0
flash,0,5,7
