feature,pos,neg,neutral
light situations,0,0,1
auto,1,4,11
shutter speed,3,0,1
movie,1,1,8
iso,1,0,3
action shots,0,0,1
lcd display,1,1,0
focus,6,3,20
screen,1,0,5
lcd screen,1,0,2
body,1,1,2
photos,7,1,13
resolution,1,0,4
quality pictures,1,0,0
battery life,1,11,8
mode,4,1,15
features,8,0,14
view,0,0,2
spare battery,0,0,3
recording button,0,0,1
price,2,0,4
function,0,0,1
options,1,0,5
manual settings,0,0,1
light conditions,0,0,2
pics,0,0,3
case,1,1,7
image,4,2,14
settings,0,0,3
shutter button,0,0,1
lenses,2,0,0
af,0,0,4
view screen,0,0,1
video capability,0,0,2
image quality,1,0,1
size,6,0,6
quality photos,1,0,1
exposure,0,0,4
light,8,3,11
sensor,1,0,1
shots,6,0,12
manual mode,0,0,1
card,0,0,2
video mode,0,0,2
light shots,0,1,0
flash,2,4,14
color,5,0,6
auto focus,0,0,1
video,10,5,40
battery charger,0,0,1
lens,4,1,12
lcd,0,0,5
battery,1,6,12
pictures,32,9,36
button,3,2,10
zoom range,0,0,1
program mode,0,0,4
noise,1,1,4
macro mode,1,0,1
viewfinder,0,0,3
automatic mode,0,1,0
burst mode,0,0,1
lens cap,0,0,1
memory card,0,0,1
iso settings,0,0,1
hd video,3,0,9
wide angle,1,1,1
video recording,0,0,2
shutter,1,2,7
video quality,1,1,1
zoom,7,1,21
movie mode,0,0,2
image stabilization,2,1,4
autofocus,1,0,1
menu,0,2,0
lens error,0,1,1
white balance,0,1,0
money,2,1,4
dslr,0,0,2
quality video,1,0,0
sd card,0,0,2
manual control,0,0,1
optical zoom,6,0,10
light pictures,1,1,2
auto mode,0,0,9
lens cover,0,0,1
